Indonesia,Jawa,Sunda,Minang
air,banyu,cai,aia
basah,teles,baseuh,basah
buruk,elek,butut,buruak
nol,kosong,kosong,kosong
satu,setunggal,hiji,ciek
dua,kali,dua,duo
tiga,telu,tilu,tigo
empat,sekawan,opat,ampek
lima,gangsal,lima,limo
enam,enem,genep,anam
tujuh,pitu,tujuh,tujuh 
delapan,wolu,delapan,dalapan
sembilan,songo,salapan,sambilan
sepuluh,sedasa,sapuluh,sapuluah
besar,gedhe,badag,gadang
kecil,cilik,leutik,ketek
kursi,kursi,korsi,kursi
lepas,copot,locot,lapeh
lapar,luwe,lapar,litak
tidur,turu,sare,lolok
makan,mangan,tuang,makan
mandi,adus,mandi,mandi
meja,mejo,meja,meja
minum,ngombe,minum,minum
piring,piring,piring,piriang
putus,putus,pegat,putuih
bagus,apik,alus,rancak
rumah,omah,bumi,rumah
rumput,rumput,jukut,rumpuik
telinga,kuping,ceuli,talingo
itu,kae,eta,iko
dimana,ngendi,dimana,dima
kapan,kapan,iraha,bilo
berapa,piro,sabaraha,bara
apa,opo,naon,apo
siapa,sopo,saha,sia
bagaimana,piye,kumaha,baa
dia,dee,manehna,inyo
pergi,lungo,indit,pai
berangkat,mangkat,indit,barangkek
kenyang,wareg,wareg,kanyang
mengantuk,nganthuk,tunduh,ngantuak
ramai,rame,rame,rami
hangat,anget,anget,angek
potong,kethok,peupeus,kuduang
sarung,sarung,sarunk,saruang
retak,retak,rengat,ratak
dinding,tembok,tembok,dindiang
besok,sesuk,isuk,bisuak
